City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,susuman,62.7833,148.1667,5.75,48,1,1.7,RU,1727315781
242,hobyo,5.3505,48.5268,24.61,83,65,10.77,SO,1727315552
243,anadyr,64.75,177.4833,7.28,81,40,9.0,RU,1727315553
244,priargunsk,50.3691,119.1012,16.74,35,81,5.71,RU,1727315784
245,pietrosani,45.1833,24.85,14.25,69,3,2.76,RO,1727315785
246,bubaque,11.2833,-15.8333,26.03,85,100,6.11,GW,1727315787
247,dembi dolo,8.5333,34.8,14.64,88,100,1.79,ET,1727315788
248,al ghayzah,16.2079,52.176,24.92,89,58,0.96,YE,1727315789
249,yuzhno-kurilsk,44.0306,145.8556,17.05,79,100,5.77,RU,1727315790
250,illizi,26.4833,8.4667,32.37,27,81,6.17,DZ,1727315791
251,port blair,11.6667,92.75,28.02,89,40,1.54,IN,1727315792
252,floro,61.5996,5.0328,4.98,87,40,0.0,NO,1727315793
253,ust'-uda,54.1742,103.0304,6.87,57,99,2.35,RU,1727315795
254,kharan,28.5833,65.4167,27.13,28,9,2.09,PK,1727315796
255,polyarnyy,69.1989,33.4478,11.95,86,100,9.75,RU,1727315797
256,sos'va,59.1766,61.8558,0.88,83,100,1.84,RU,1727315798
257,laguna,38.421,-121.4238,23.59,59,0,4.12,US,1727315799
258,saint-francois,46.4154,3.9054,18.69,81,100,8.23,FR,1727315800
259,zabljak,43.1542,19.1232,8.01,90,100,2.41,ME,1727315801
260,ceeldheer,3.8488,47.1806,23.94,84,75,7.36,SO,1727315802
261,mayo-belwa,9.05,12.05,22.67,90,94,1.18,NG,1727315804
262,daru,-9.0763,143.2092,27.71,80,94,6.27,PG,1727315805
263,taro,-8.3862,115.28,27.54,64,100,1.34,ID,1727315806
264,jayapura,-2.5333,140.7,31.66,71,91,0.79,ID,1727315808
265,santa barbara d'oeste,-22.7536,-47.4136,25.75,27,0,2.3,BR,1727315809
266,labuan,5.2767,115.2417,27.2,88,20,1.54,MY,1727315810
267,inhambane,-23.865,35.3833,20.89,75,44,3.33,MZ,1727315811
268,prince george,53.9166,-122.753,8.69,94,20,2.57,CA,1727315812
269,quepos,9.4236,-84.1652,25.82,88,100,1.72,CR,1727315813
270,mount gambier,-37.8333,140.7667,13.45,49,28,3.96,AU,1727315814
271,puerto colombia,10.9878,-74.9547,27.05,73,100,2.63,CO,1727315703
272,tsengel,49.4783,100.8894,7.16,63,100,3.7,MN,1727315816
273,buala,-8.145,159.5921,29.79,70,66,3.06,SB,1727315817
274,flying fish cove,-10.4217,105.6791,26.82,83,40,3.6,CX,1727315818
275,salekhard,66.53,66.6019,-1.88,78,100,1.47,RU,1727315819
276,benacazon,37.3404,-6.2105,21.09,93,40,0.89,ES,1727315820
277,maumere,-8.6199,122.2111,29.3,70,43,1.46,ID,1727315821
278,uturoa,-16.7333,-151.4333,26.79,79,22,5.75,PF,1727315822
279,alajarvi,63.0,23.8167,10.71,84,28,5.94,FI,1727315823
280,kochubey,44.3861,46.5825,18.55,72,100,6.4,RU,1727315825
281,russkiy kameshkir,52.8589,46.0892,6.89,35,0,2.09,RU,1727315826
282,port saint john's,-31.6229,29.5448,18.07,88,91,1.42,ZA,1727315827
283,shubarshi,48.5872,57.1869,5.9,48,0,3.4,KZ,1727315828
284,puerto aysen,-45.4,-72.7,3.6,99,97,2.63,CL,1727315783
285,san andres,12.5847,-81.7006,28.01,83,20,2.06,CO,1727315830
286,taksimo,56.3444,114.8794,7.95,72,100,1.22,RU,1727315831
287,omdurman,15.6445,32.4777,34.15,29,52,4.0,SD,1727315832
288,nova sintra,14.8667,-24.7167,26.76,85,100,2.55,CV,1727315833
289,kuta,-8.7233,115.1723,29.97,79,40,3.6,ID,1727315835
290,kyshtovka,56.555,76.6271,-0.46,82,24,4.47,RU,1727315836
291,belmonte,-15.8631,-38.8828,22.42,75,0,3.12,BR,1727315837
292,umba,66.6871,34.3429,10.89,90,60,6.66,RU,1727315838
293,shuangjiang,26.1547,109.7138,26.63,66,13,1.01,CN,1727315840
294,wierden,52.35,6.5833,14.5,84,100,5.73,NL,1727315841
295,ete,7.05,7.45,21.74,97,74,1.63,NG,1727315842
296,hjo,58.3013,14.2878,8.9,90,2,5.15,SE,1727315843
297,badger,64.8,-147.5333,8.14,81,75,1.54,US,1727315844
298,pacasmayo,-7.4006,-79.5714,16.42,91,72,5.02,PE,1727315845
299,segou,13.4317,-6.2157,23.97,82,100,1.47,ML,1727315846
300,pontes e lacerda,-15.2261,-59.3353,28.99,30,78,1.05,BR,1727315848
301,mukalla,14.5425,49.1242,26.86,86,80,0.68,YE,1727315849
302,xifeng,42.7372,124.7222,17.31,65,0,2.56,CN,1727315850
303,tura,25.5198,90.2201,22.23,99,100,1.28,IN,1727315851
304,ende,-8.8432,121.6623,30.69,56,62,2.62,ID,1727315852
305,howrah,22.5892,88.3103,26.0,94,100,2.57,IN,1727315853
306,roccella ionica,38.322,16.4009,22.55,58,4,3.4,IT,1727315854
307,newman,37.3138,-121.0208,27.24,43,0,0.89,US,1727315855
308,montesilvano marina,42.5167,14.15,19.04,68,0,4.12,IT,1727315856
309,barcelos,41.5388,-8.6151,18.86,98,100,8.47,PT,1727315857
310,itoman,26.1247,127.6694,31.01,74,75,7.72,JP,1727315858
311,obock,12.25,43.0833,26.59,66,98,3.07,DJ,1727315859
312,hastings,50.8552,0.5729,13.86,88,99,7.07,GB,1727315860
313,alice springs,-23.7,133.8833,21.75,46,0,6.17,AU,1727315861
314,lebu,-37.6167,-73.65,7.06,83,100,5.91,CL,1727315863
315,nizhniy kuranakh,58.8353,125.4869,13.51,61,41,5.11,RU,1727315864
316,ubari,26.5921,12.7805,28.56,37,21,7.03,LY,1727315865
317,gunjur,13.2019,-16.7339,25.07,88,100,1.44,GM,1727315868
318,usogorsk,63.4106,48.6872,9.08,80,63,3.61,RU,1727315869
319,nuuk,64.1835,-51.7216,6.63,64,0,3.29,GL,1727315870
320,manturovo,58.3353,44.7619,10.01,49,3,3.27,RU,1727315871
321,zharkent,44.1628,80.0,17.5,50,80,0.84,KZ,1727315872
322,aykhal,66.0,111.5,1.83,80,74,6.4,RU,1727315874
323,shingu,33.7333,135.9833,25.07,84,84,3.3,JP,1727315875
324,kavieng,-2.5744,150.7967,29.33,70,97,2.1,PG,1727315876
325,ibiza,38.9088,1.433,23.85,84,0,4.12,ES,1727315877
326,nogliki,51.8333,143.1667,15.22,72,100,0.62,RU,1727315878
327,xiaoshi,41.2971,124.1209,18.8,58,5,1.71,CN,1727315879
328,weno,7.4515,151.8468,28.35,74,10,1.68,FM,1727315880
329,hami,42.8,93.45,24.37,20,82,0.35,CN,1727315881
330,yanam,16.7333,82.2167,26.36,91,100,1.66,IN,1727315882
331,vozhega,60.4725,40.2213,13.02,68,100,3.93,RU,1727315883
332,taltal,-25.4,-70.4833,15.53,73,0,3.03,CL,1727315884
333,uacu cungo,-11.3634,15.1208,17.94,84,20,0.41,AO,1727315885
334,saint-pierre,-21.3393,55.4781,18.82,68,0,2.57,RE,1727315886
335,lincoln city,44.9582,-124.0179,15.2,98,49,2.16,US,1727315887
336,kerikeri,-35.2268,173.9474,20.53,40,70,1.85,NZ,1727315889
337,sturgis,41.7992,-85.4192,18.01,79,20,1.54,US,1727315731
338,markaz-e hukumat-e darweshan,31.1323,64.1934,24.58,15,0,3.8,AF,1727315892
339,al mishkhab,31.8042,44.4911,29.06,31,0,4.93,IQ,1727315893
340,labasa,-16.4167,179.3833,26.7,60,82,4.42,FJ,1727315894
341,al burayqah,30.4062,19.5739,25.71,73,56,6.79,LY,1727315895
342,kerteminde,55.449,10.6577,13.68,86,100,3.48,DK,1727315896
343,waingapu,-9.6567,120.2641,30.16,61,95,4.62,ID,1727315897
344,fort bragg,35.139,-79.006,25.75,86,100,0.45,US,1727315898
345,asmar,35.0333,71.3581,20.04,72,59,1.01,AF,1727315900
346,inirida,3.8653,-67.9239,23.49,94,100,0.87,CO,1727315901
347,manhattan,40.7834,-73.9662,18.34,81,100,4.63,US,1727315794
348,machico,32.7,-16.7667,23.73,82,20,1.54,PT,1727315904
349,viedma,-40.8135,-62.9967,5.75,38,0,2.95,AR,1727315905
350,darwin,-12.4611,130.8418,32.75,51,40,4.63,AU,1727315632
351,senador jose porfirio,-2.5908,-51.9542,26.96,70,16,1.51,BR,1727315907
352,bridlington,54.0831,-0.1919,13.34,92,100,4.92,GB,1727315908
353,richards bay,-28.783,32.0377,19.41,84,1,4.96,ZA,1727315909
354,colby,39.3958,-101.0524,22.83,44,0,4.47,US,1727315910
355,juruti,-2.1522,-56.0922,27.71,59,7,1.54,BR,1727315911
356,znamenka,52.4167,41.4311,7.81,34,5,3.43,RU,1727315912
357,mirny,62.5353,113.9611,4.52,71,100,3.29,RU,1727315913
358,dudinka,69.4058,86.1778,2.06,86,100,3.14,RU,1727315915
359,vilyuchinsk,52.9306,158.4028,18.15,68,100,6.45,RU,1727315916
360,lautoka,-17.6167,177.4667,27.92,54,40,3.09,FJ,1727315917
361,irymple,-34.25,142.1667,15.05,44,0,0.89,AU,1727315918
